ID	Name	Probability 
PNBO_003	loss of language ability	0.99282 
PNBO_022	social verbalization and response	0.85285 
NBO_0000765	learning and/or memory behavior phenotype	0.60779 
PNBO_015	playing behavior phenotype	0.59617 
PNBO_023	reciprocal conversation	0.32626 
NBO_0000766	learning behavior phenotype	0.21505 
PNBO_070	memory ability and skill phenotype	0.08859 
