ID	Name	Probability 
PNBO_026	head nodding	1 
PNBO_052	hand and finger manerisms	0.99995 
PNBO_078	directing attention	0.9979 
PNBO_008	loss of communicative intent	0.99469 
PNBO_075	offering to share enjoyment	0.98928 
PNBO_015	playing behavior phenotype	0.9804 
PNBO_059	interest in children	0.49898 
