ID	Name	Probability 
PNBO_015	playing behavior phenotype	0.99686 
NBO_0000767	memory behavior phenotype	0.50001 
PNBO_070	memory ability and skill phenotype	0.49999 
PNBO_018	loss of self-help skills	0.11549 
PNBO_006	decreased level of communication ability	0.00505 
PNBO_054	imaginative play	0.00314 
PNBO_016	constructive playing behavior	0.00144 
