V1	p_value	term_id	source	term_name 
1	0.0497	CORUM:6524	CORUM	DZIP1-GLI3 complex 
2	0.0497	CORUM:6531	CORUM	CEP164-DZIP1 complex 
3	0.0497	CORUM:6533	CORUM	DZIP1-IFT88 complex 
