V1	p_value	term_id	source	term_name 
1	0.0249	GO:1990843	GO:CC	subsarcolemmal mitochondrion 
2	0.0249	GO:1990844	GO:CC	interfibrillar mitochondrion 
3	0.0442	WP:WP3407	WP	FTO Obesity Variant Mechanism 
4	0.0442	WP:WP4191	WP	Caloric restriction and aging 
