ID	Name	Probability 
PNBO_078	directing attention	1 
PNBO_076	self-injury	0.99647 
PNBO_081	sensitivity to noise	0.8603 
PNBO_047	eye contact behavior	0.22937 
PNBO_077	smiling	0.22761 
NBO_0000658	auditory behavior phenotype	0.08761 
NBO_0000655	sensation behavior phenotype	0.05199 
