ID	Name	Probability 
PNBO_046	coping with changes in environment	0.99344 
PNBO_071	visiospatial ability	0.7631 
PNBO_081	sensitivity to noise	0.50001 
NBO_0000658	auditory behavior phenotype	0.49999 
PNBO_041	circumscribed interests	0.22946 
NBO_0000766	learning behavior phenotype	0.20468 
PNBO_015	playing behavior phenotype	0.02125 
