ID	Name	Probability 
PNBO_023	reciprocal conversation	0.99887 
PNBO_036	computational ability phenotype	0.06159 
NBO_0000567	stereotypic behavior	0.05559 
PNBO_085	verbal rituals	0.01099 
PNBO_025	neologism phenotype	0.00885 
PNBO_066	pronominal reversal	0.00682 
PNBO_080	social disinhibition	0.00613 
qualifier	qualifier	0 
