ID	Name	Probability 
PNBO_023	reciprocal conversation	1 
NBO_0000766	learning behavior phenotype	0.95477 
PNBO_040	restricted behavior phenotype	0.6826 
NBO_0000767	memory behavior phenotype	0.48398 
PNBO_070	memory ability and skill phenotype	0.48398 
NBO_0000601	emotional behavior phenotype	0.47718 
PNBO_042	anxious behavior	0.47717 
