ID	Name	Probability 
NBO_0000568	kinesthetic behavior phenotype	0.57015 
PNBO_023	reciprocal conversation	0.51383 
PNBO_037	appropriate social response	0.4857 
NBO_0000644	voluntary movement behavior phenotype	0.42921 
PNBO_050	group play with peers	0.00034 
PNBO_084	unusual sensory interests	0.00012 
NBO_0000266	cognitive behavior phenotype	0.00011 
