Method	outcome	b	se	pval	Q	Q_pval	ncase	ncontrol	intercept	intercept_pval	snp_r2.outcome	steiger_pval
MR Egger	Leisure/social activities: Religious group	-0.0509419404515617	0.02850536895776	0.0928786679565111	28.3335154223656	0.0288375140722812	67877	393492	3.34736287740746e-05	0.959380419799223	0.000122036276087181	3.91246381556787e-114
Simple mode	Leisure/social activities: Religious group	-0.0385273137569222	0.0249646097081347	0.141173274149536	NA	NA	67877	393492	NA	NA	0.000122036276087181	3.91246381556787e-114
Weighted median	Leisure/social activities: Religious group	-0.0550285892095987	0.0137278124080939	6.10933308418144e-05	NA	NA	67877	393492	NA	NA	0.000122036276087181	3.91246381556787e-114
Weighted mode	Leisure/social activities: Religious group	-0.0495984617641553	0.0205904913628492	0.027629768351052	NA	NA	67877	393492	NA	NA	0.000122036276087181	3.91246381556787e-114
Inverse variance weighted	Able to confide	0.0632979669074842	0.0688748022610001	0.358080204434092	31.4620227983879	0.0175366392109803	NA	NA	NA	NA	7.33967326921263e-05	2.95898551716529e-124
MR Egger	Able to confide	-0.0390908455791727	0.159595370323852	0.809618767668666	30.4915270599121	0.0156142361801712	NA	NA	0.0025852667976281	0.485742043532266	7.33967326921263e-05	2.95898551716529e-124
Simple mode	Able to confide	0.112407497384558	0.12744712959975	0.390081383024309	NA	NA	NA	NA	NA	NA	7.33967326921263e-05	2.95898551716529e-124
Weighted median	Able to confide	0.0857988294596706	0.0728336836127745	0.238792500129522	NA	NA	NA	NA	NA	NA	7.33967326921263e-05	2.95898551716529e-124
Weighted mode	Able to confide	0.0860621178797458	0.106431851615747	0.429909709667947	NA	NA	NA	NA	NA	NA	7.33967326921263e-05	2.95898551716529e-124
Inverse variance weighted	Leisure/social activities: None of the above	0.0167406878867101	0.0158345742161628	0.290409484409744	28.2927100877984	0.041632071233544	140035	321334	NA	NA	6.53291000785322e-05	3.16591746359698e-128
MR Egger	Leisure/social activities: None of the above	0.0456098685777735	0.0363960826708225	0.22815457423464	26.9800503145754	0.0417054222599485	140035	321334	-0.000728887385840595	0.390679449660676	6.53291000785322e-05	3.16591746359698e-128
Simple mode	Leisure/social activities: None of the above	0.0456334253282255	0.0389587179839529	0.257623483427488	NA	NA	140035	321334	NA	NA	6.53291000785322e-05	3.16591746359698e-128
Weighted median	Leisure/social activities: None of the above	0.0309985238285062	0.0185970680206505	0.0955442244903961	NA	NA	140035	321334	NA	NA	6.53291000785322e-05	3.16591746359698e-128
Weighted mode	Leisure/social activities: None of the above	0.0382773813243698	0.0298013412532676	0.216223674978993	NA	NA	140035	321334	NA	NA	6.53291000785322e-05	3.16591746359698e-128
Inverse variance weighted	Frequency of friend/family visits	0.101534042175995	0.0385946794757784	0.00851896086076281	28.7016103675678	0.0373786123064754	NA	NA	NA	NA	8.77131211756945e-05	7.77130668315588e-122
MR Egger	Frequency of friend/family visits	-0.0413973723672679	0.0816690920774053	0.619145077434519	23.2048993454239	0.108365885936843	NA	NA	0.00360908940393708	0.0693334768730758	8.77131211756945e-05	7.77130668315588e-122
Simple mode	Frequency of friend/family visits	0.0712662009795613	0.0652545364500381	0.290013892692608	NA	NA	NA	NA	NA	NA	8.77131211756945e-05	7.77130668315588e-122
Weighted median	Frequency of friend/family visits	0.0625583042921436	0.0424621128491205	0.14067731162544	NA	NA	NA	NA	NA	NA	8.77131211756945e-05	7.77130668315588e-122
Weighted mode	Frequency of friend/family visits	0.0570148881350169	0.0598620003684622	0.35422135116798	NA	NA	NA	NA	NA	NA	8.77131211756945e-05	7.77130668315588e-122
